Date,Close,High,Low,Open,Volume
1490809155,828.5200,828.7896,828.5200,828.6600,2700
1490809209,828.6400,828.6400,828.3700,828.3700,2100
1490809263,828.6700,828.8500,828.6000,828.7100,900
1490809333,828.2599,828.4900,828.2599,828.4900,1000
1490809406,828.2900,828.4163,828.2800,828.4163,700
1490809447,828.6800,828.6800,828.4000,828.4800,1800
1490809528,828.6750,828.6800,828.4800,828.6800,500
1490809560,828.4600,828.6900,828.4600,828.6300,2300
1490809621,828.4500,828.5500,828.3800,828.5300,13600
1490809682,828.3300,828.4250,828.3300,828.3900,1400
1490809741,828.4900,828.5031,828.2400,828.3200,4300
1490809807,828.4900,828.5050,828.4100,828.4100,2400
1490809904,828.5700,828.5950,828.4700,828.4700,2800
1490809930,828.7000,828.7800,828.5200,828.5200,2200
1490809982,828.7800,828.7800,828.6300,828.7300,6800
1490810063,828.7500,828.7500,828.6201,828.6300,3200
1490810100,829.1000,829.1300,828.6422,828.6683,2800
1490810166,829.0340,829.1500,828.9300,829.1500,900
1490810223,829.3500,829.4500,829.0829,829.0829,1900
1490810304,829.2063,829.2063,829.2063,829.2063,1600
1490810345,829.3000,829.4999,829.3000,829.4200,1800
1490810458,829.0603,829.3000,829.0000,829.3000,3600
1490810464,829.0700,829.1100,828.9900,828.9900,2900
1490810522,829.1300,829.1400,829.0800,829.0800,900
1490810591,829.1000,829.3000,829.1000,829.1200,1000
1490810665,829.3300,829.4400,829.2500,829.2500,3200
1490810701,829.2400,829.3100,829.0600,829.3100,1000
1490810761,829.2000,829.3300,829.1400,829.2400,3200
1490810877,829.1650,829.1650,829.1650,829.1650,300
1490810913,829.2100,829.2100,829.1400,829.1704,700
1490810943,829.1900,829.2950,829.1000,829.1000,2200
1490811006,829.1000,829.1700,829.1000,829.1700,0
1490811077,829.2700,829.2700,829.2700,829.2700,400
1490811173,829.1782,829.2587,829.1782,829.2587,300
1490811188,829.2200,829.2200,829.0900,829.1100,1800
1490811264,829.2600,829.2700,829.2000,829.2200,1000
1490811327,829.2200,829.2200,829.2200,829.2200,300
1490811362,829.4500,829.4500,829.2000,829.2000,3200
1490811432,829.3725,829.4300,829.3500,829.4300,1300
1490811483,829.5100,829.5450,829.4200,829.4200,2600
1490811543,829.4912,829.5200,829.4200,829.4200,1700
1490811616,829.8100,829.8398,829.5599,829.5599,2000
1490811676,829.9600,829.9600,829.5508,829.8600,5700
1490811721,830.1500,830.1500,829.7500,829.8400,5300
1490811839,830.2400,830.2700,830.0800,830.1800,4700
1490811840,830.2400,830.2400,830.0800,830.2100,2200
1490811941,830.1250,830.2089,830.1250,830.2089,1100
1490811963,830.1900,830.2450,830.0850,830.1250,4600
1490812023,830.1990,830.1990,830.1990,830.1990,100
1490812093,830.3400,830.4300,830.1400,830.2241,6500
1490812140,830.4045,830.4045,830.3850,830.3850,500
1490812202,830.2900,830.4300,830.2900,830.3600,3500
1490812297,830.1800,830.3250,830.1800,830.3250,1000
1490812322,829.9600,830.1300,829.9600,830.1300,5400
1490812380,829.8800,830.0100,829.8800,829.9000,3300
1490812456,829.9550,829.9600,829.9300,829.9300,1100
1490812501,829.8000,829.9200,829.7000,829.9200,2900
1490812567,830.0180,830.1100,829.8050,829.8700,3800
1490812646,830.1349,830.1349,830.1349,830.1349,300
1490812688,830.1500,830.1500,830.1500,830.1500,600
1490812749,830.1550,830.1550,830.0500,830.1092,1000
1490812804,830.2050,830.2400,830.2050,830.2300,900
1490812864,830.1750,830.2798,830.1200,830.2798,1800
1490812926,830.1452,830.1950,830.1000,830.1600,2600
1490813034,830.2200,830.2200,830.2200,830.2200,200
1490813047,830.2900,830.4200,830.1500,830.1500,34300
1490813103,830.3300,830.4600,830.2300,830.2700,2200
1490813181,830.5559,830.5559,830.3400,830.4400,2000
1490813245,830.4900,830.4900,830.2900,830.4000,2700
1490813305,830.6499,830.6500,830.4900,830.5166,1300
1490813354,830.2700,830.5375,830.2700,830.5375,1400
1490813405,830.2759,830.2759,830.2200,830.2200,500
1490813465,830.1770,830.2599,830.1602,830.1800,1300
1490813554,830.2200,830.2393,830.1500,830.2393,1100
1490813592,830.1100,830.1800,830.1100,830.1800,2900
1490813649,830.3400,830.3400,830.0900,830.0900,2800
